,path,emotion
48,data/emodb/wav/03b01Fa.wav,happy
49,data/emodb/wav/11b10Nc.wav,neutral
50,data/emodb/wav/11b09Td.wav,sad
51,data/emodb/wav/16a02Tc.wav,sad
52,data/emodb/wav/11b03Nb.wav,neutral
53,data/emodb/wav/03b09Tc.wav,sad
54,data/emodb/wav/08a05Nb.wav,neutral
55,data/emodb/wav/14b01Na.wav,neutral
56,data/emodb/wav/14a05Fa.wav,happy
57,data/emodb/wav/03b01Td.wav,sad
58,data/emodb/wav/08a05Fe.wav,happy
59,data/emodb/wav/16a07Fb.wav,happy
60,data/emodb/wav/08a07Na.wav,neutral
61,data/emodb/wav/14a02Tb.wav,sad
62,data/emodb/wav/14b01Fc.wav,happy
63,data/emodb/wav/13a01Nb.wav,neutral
64,data/emodb/wav/13b03Na.wav,neutral
65,data/emodb/wav/12b01Ta.wav,sad
66,data/emodb/wav/09b03Fa.wav,happy
67,data/emodb/wav/11a05Fc.wav,happy
68,data/emodb/wav/14b09Td.wav,sad
69,data/emodb/wav/11b03Td.wav,sad
70,data/emodb/wav/11b02Na.wav,neutral
71,data/emodb/wav/08a04Nc.wav,neutral
72,data/emodb/wav/15a02Na.wav,neutral
73,data/emodb/wav/11b09Na.wav,neutral
74,data/emodb/wav/15a05Fb.wav,happy
75,data/emodb/wav/12a05Ta.wav,sad
76,data/emodb/wav/14a07Tc.wav,sad
77,data/emodb/wav/09a05Nb.wav,neutral
78,data/emodb/wav/14a05Ta.wav,sad
79,data/emodb/wav/13a07Na.wav,neutral
80,data/emodb/wav/03b01Nb.wav,neutral
81,data/emodb/wav/09b02Na.wav,neutral
82,data/emodb/wav/15a04Fd.wav,happy
83,data/emodb/wav/10a05Tb.wav,sad
84,data/emodb/wav/08a07Tb.wav,sad
85,data/emodb/wav/11a02Nc.wav,neutral
86,data/emodb/wav/11a05Fb.wav,happy
87,data/emodb/wav/11a02Fb.wav,happy
88,data/emodb/wav/15b09Ta.wav,sad
89,data/emodb/wav/14a07Na.wav,neutral
90,data/emodb/wav/15b10Nb.wav,neutral
91,data/emodb/wav/03b03Nb.wav,neutral
92,data/emodb/wav/09b09Nd.wav,neutral
93,data/emodb/wav/14a02Nc.wav,neutral
94,data/emodb/wav/08b10Fd.wav,happy
95,data/emodb/wav/09b03Ta.wav,sad
96,data/emodb/wav/16a04Fa.wav,happy
97,data/emodb/wav/13a02Ta.wav,sad
98,data/emodb/wav/08a02Fe.wav,happy
99,data/emodb/wav/08b01Fe.wav,happy
100,data/emodb/wav/08a01Na.wav,neutral
101,data/emodb/wav/15b01Na.wav,neutral
102,data/emodb/wav/11b02Fd.wav,happy
103,data/emodb/wav/15a04Nc.wav,neutral
104,data/emodb/wav/13a07Tc.wav,sad
105,data/emodb/wav/14a01Na.wav,neutral
106,data/emodb/wav/13b03Td.wav,sad
107,data/emodb/wav/13b01Nc.wav,neutral
108,data/emodb/wav/11b03Fc.wav,happy
109,data/emodb/wav/09a04Fd.wav,happy
110,data/emodb/wav/03b10Nc.wav,neutral
111,data/emodb/wav/14b02Tc.wav,sad
112,data/emodb/wav/10a04Nb.wav,neutral
113,data/emodb/wav/14b02Na.wav,neutral
114,data/emodb/wav/16a04Nc.wav,neutral
115,data/emodb/wav/15b03Nb.wav,neutral
116,data/emodb/wav/09a07Na.wav,neutral
117,data/emodb/wav/03a02Fc.wav,happy
118,data/emodb/wav/13a05Nb.wav,neutral
119,data/emodb/wav/11b09Fd.wav,happy
120,data/emodb/wav/08b01Fd.wav,happy
121,data/emodb/wav/08b03Fe.wav,happy
122,data/emodb/wav/08b09Nb.wav,neutral
123,data/emodb/wav/09a05Tb.wav,sad
124,data/emodb/wav/03a07Fa.wav,happy
125,data/emodb/wav/09b02Tb.wav,sad
126,data/emodb/wav/09a01Fa.wav,happy
127,data/emodb/wav/16a07Nb.wav,neutral
128,data/emodb/wav/13b09Fc.wav,happy
129,data/emodb/wav/16a04Tc.wav,sad
130,data/emodb/wav/16b01Tb.wav,sad
131,data/emodb/wav/15a05Na.wav,neutral
132,data/emodb/wav/16b01Fa.wav,happy
133,data/emodb/wav/10a02Na.wav,neutral
134,data/emodb/wav/13a07Fd.wav,happy
135,data/emodb/wav/03a05Nd.wav,neutral
136,data/emodb/wav/12a02Nb.wav,neutral
137,data/emodb/wav/03a05Fc.wav,happy
138,data/emodb/wav/12a01Nb.wav,neutral
139,data/emodb/wav/08b10Tc.wav,sad
140,data/emodb/wav/08b09Fd.wav,happy
141,data/emodb/wav/13b10Nc.wav,neutral
142,data/emodb/wav/16b03Ta.wav,sad
143,data/emodb/wav/09a04Nb.wav,neutral
144,data/emodb/wav/03a01Nc.wav,neutral
145,data/emodb/wav/15a01Nb.wav,neutral
146,data/emodb/wav/15b02Nd.wav,neutral
147,data/emodb/wav/08b01Na.wav,neutral
148,data/emodb/wav/08b02Nb.wav,neutral
149,data/emodb/wav/14a04Tc.wav,sad
150,data/emodb/wav/11a05Td.wav,sad
151,data/emodb/wav/15a07Fa.wav,happy
152,data/emodb/wav/13b09Fb.wav,happy
153,data/emodb/wav/08a07Fd.wav,happy
154,data/emodb/wav/14b03Ta.wav,sad
155,data/emodb/wav/09a01Nb.wav,neutral
156,data/emodb/wav/13b02Nb.wav,neutral
157,data/emodb/wav/11b01Nc.wav,neutral
158,data/emodb/wav/16b03Fd.wav,happy
159,data/emodb/wav/03a04Ta.wav,sad
160,data/emodb/wav/16b10Tb.wav,sad
161,data/emodb/wav/15a07Nc.wav,neutral
162,data/emodb/wav/11a02Tc.wav,sad
163,data/emodb/wav/12b02Na.wav,neutral
164,data/emodb/wav/03a04Fd.wav,happy
165,data/emodb/wav/15a07Fb.wav,happy
166,data/emodb/wav/11a05Na.wav,neutral
167,data/emodb/wav/10b10Fc.wav,happy
168,data/emodb/wav/09b01Na.wav,neutral
